x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89669.82634826488,43133.24935924902,0.0,0.0,0.0,-0.8641775047575619,0.5031870827743832,1.5
89668.2388975564,43130.45242228646,0.0,0.0,0.0,-0.8567052353123144,0.5158063006482879,1.5
89666.87822552054,43127.882263996544,0.0,0.0,0.0,-0.8760856354219352,0.48215553445682235,1.5
89665.44196059382,43125.61447727014,0.0,0.0,0.0,-0.8683274209497469,0.4959914213237574,1.5
89663.70332410357,43122.66635452582,0.0,0.0,0.0,-0.9657707506138885,0.2593971034122904,1.5
89660.83079425011,43121.00331092646,0.0,0.0,0.0,-0.958760558299818,0.28421504507787987,1.5
89657.80707861489,43119.037895763584,0.0,0.0,0.0,-0.9705122143351904,0.2410519483974468,1.5
89653.95184118,43116.99688770982,0.0,0.0,0.0,0.9953877060263016,0.0959339079350832,1.5
89650.61527763396,43117.64606331011,0.0,0.0,0.0,0.9868796805156107,0.16145741291562324,2.0
89647.04114078643,43118.84771276746,0.0,0.0,0.0,0.9891101451496209,0.14717717473200703,9.719444444444445
89644.31224363351,43119.67820696935,0.0,0.0,0.0,0.984576937261261,0.17495214949589757,9.719444444444445
89641.0329009937,43120.881635461024,0.0,0.0,0.0,0.9753644309318722,0.22059969826122877,9.719444444444445
89638.18970219904,43122.23707233752,0.0,0.0,0.0,0.9533641537473507,0.30182244838579825,9.719444444444445
89635.4385209576,43124.173088766685,0.0,0.0,0.0,0.9502136907651781,0.31159900815377833,9.719444444444445
89633.19184062952,43125.824118274555,0.0,0.0,0.0,0.9314422638798969,0.3638891439137646,9.719444444444445
89631.27729530184,43127.589478252004,0.0,0.0,0.0,0.9045256220725635,0.42641927608193575,9.719444444444445
89629.52857606857,43129.709416450096,0.0,0.0,0.0,0.8836804550924175,0.4680906464432481,9.719444444444445
89627.47306887155,43132.73637283416,0.0,0.0,0.0,0.8726203755998003,0.4883990991884234,9.719444444444445
89625.88389466153,43135.32670797873,0.0,0.0,0.0,0.8726203755993263,0.48839909918927027,9.719444444444445
89624.33280318519,43137.85496871837,0.0,0.0,0.0,0.8726203755992085,0.48839909918948093,9.719444444444445
89622.78162864826,43140.38336484578,0.0,0.0,0.0,0.8726203755989268,0.4883990991899841,9.719444444444445
89621.23051978562,43142.91165392488,0.0,0.0,0.0,0.8726203755989302,0.4883990991899779,9.719444444444445
89619.67953319506,43145.43974370194,0.0,0.0,0.0,0.8726203755992905,0.4883990991893342,9.719444444444445
89618.1296093325,43147.96610124492,0.0,0.0,0.0,0.8726203755996921,0.48839909918861674,9.719444444444445
89616.58162498986,43150.48929739341,0.0,0.0,0.0,0.8726203755997323,0.48839909918854507,9.719444444444445
89615.03858432855,43153.004435399875,0.0,0.0,0.0,0.872620375598838,0.4883990991901428,9.719444444444445
89613.5157321,43155.4866665,0.0,0.0,0.0,0.7988249148909662,0.6015635921076347,9.719444444444445
89612.6932589,43158.3481709,0.0,0.0,0.0,0.7028539955455397,0.7113341415577284,9.719444444444445
89612.7291468,43161.3404789,0.0,0.0,0.0,0.5688843952383383,0.8224175003332006,9.719444444444445
89613.7741219,43164.1124982,0.0,0.0,0.0,0.332024351633184,0.9432708147306179,9.719444444444445
89616.038489,43165.9320151,0.0,0.0,0.0,0.09576117963897977,0.9954043381833089,9.719444444444445
89618.9507637,43166.4975904,0.0,0.0,0.0,-0.17146598580861655,0.9851900404037179,9.719444444444445
89621.7102618,43165.5070397,0.0,0.0,0.0,-0.3722981364651079,0.9281131922263619,9.719444444444445
89623.8840814,43163.4286152,0.0,0.0,0.0,-0.43347161461633327,0.9011672205101054,9.719444444444445
89625.7384085,43161.107721,0.0,0.0,0.0,-0.5077202816800768,0.8615219762552221,9.719444444444445
89627.1816511,43158.5014474,0.0,0.0,0.0,-0.5357086988320535,0.8444028600115399,9.719444444444445
89628.4528769,43155.8019154,0.0,0.0,0.0,-0.5575441010496636,0.8301473214946384,9.719444444444445
89629.5826044,43153.0374306,0.0,0.0,0.0,-0.5270303064997497,0.8498464896855078,9.719444444444445
89630.88018771245,43150.42231469204,0.0,0.0,0.0,-0.5209861720519038,0.8535651167489825,9.719444444444445
89632.2522925146,43147.75284844299,0.0,0.0,0.0,-0.551099706575186,0.8344394006833233,9.719444444444445
89633.20967857075,43145.509917684125,0.0,0.0,0.0,-0.5186828293851513,0.8549667376576787,9.719444444444445
89634.45844299185,43143.112302045345,0.0,0.0,0.0,-0.5328247880998915,0.8462255876456973,9.719444444444445
89635.91934263518,43140.06412125593,0.0,0.0,0.0,-0.4643911068458905,0.885630227511713,9.719444444444445
89637.77262251238,43137.38348429074,0.0,0.0,0.0,-0.16883374428081552,0.9856445438352105,9.719444444444445
89640.58563661168,43136.390655785115,0.0,0.0,0.0,0.12218326369419437,0.9925075566830889,9.719444444444445
89642.83604789112,43136.95325860497,0.0,0.0,0.0,0.2631174057887954,0.9647638212386358,9.719444444444445
89644.68932776831,43138.04536996115,0.0,0.0,0.0,0.5192228468353073,0.8546388917690553,9.719444444444445
89645.58287342338,43139.76627270424,0.0,0.0,0.0,0.6030743849400485,0.7976849542452096,9.719444444444445
89646.14547624324,43141.751929715494,0.0,0.0,0.0,0.688071071762877,0.7256433009427469,9.719444444444445
89646.31094766085,43144.86279236645,0.0,0.0,0.0,0.7624028660140515,0.647102673378468,9.719444444444445
89645.84762769156,43147.67580646572,0.0,0.0,0.0,0.813894585266796,0.5810125679134575,9.719444444444445
