89660.3701,43128.8083,89653.9564,43131.2322
89660.442,43126.7651,89653.9083,43130.1375
89660.509,43124.861,89653.8787,43129.4623
89660.1988,43123.595,89653.5785,43128.3257
89659.6648,43122.514,89653.0692,43127.3652
89658.7661,43121.4686,89652.6234,43126.7927
89657.4947,43120.579,89651.7781,43125.7834
89655.9215,43119.5709,89651.0104,43125.0192
89654.8228,43118.9633,89650.1732,43124.5215
89653.6845,43118.346,89649.4596,43124.3081
89652.6039,43117.7103,89648.4018,43124.1967
89651.7867,43117.1286,89647.5372,43124.4318
89651.092,43116.6193,89646.6225,43124.6077
89649.6781,43116.4009,89644.7728,43125.0822
89648.6402,43116.6203,89641.9357,43125.6526
89646.905,43116.9241,89639.9908,43126.131
89644.8733,43117.4979,89638.2856,43126.8253
89641.9709,43118.1512,89636.975,43128.0381
89640.2995,43118.6342,89635.7541,43129.9285
89638.758,43118.824,89634.486,43131.8999
89636.5698,43119.4091,89633.0198,43134.0843
89634.7101,43120.1619,89631.6166,43136.3632
89633.442,43121.0013,89629.8394,43139.1876
89632.1859,43122.15,89627.3175,43143.1404
89631.0758,43123.4905,89625.6871,43145.63
89629.9659,43125.3204,89624.1793,43148.1448
89628.6648,43127.4672,89623.381,43149.4681
89627.0138,43130.0758,89623.0163,43150.0206
89625.1193,43132.9462,89621.9726,43151.5909
89623.1689,43135.706,89620.6687,43153.6975
89621.8171,43137.6276,89619.4241,43155.5519
89620.5968,43139.9483,89616.8091,43159.7327
89618.4066,43143.7031,89616.1222,43160.9913
89617.7493,43144.5923,89616.2023,43161.9083
89617.1128,43145.4788,89616.8087,43162.994
89616.0385,43147.0511,89617.7219,43163.3925
89615.0733,43148.5169,89618.9245,43162.9003
89614.3003,43149.8639,89619.5085,43162.1521
89613.8498,43150.8018,89619.9478,43161.3032
89613.228,43151.8145,89621.4884,43158.7363
89610.1174,43156.728,89622.8006,43156.6754
89609.6751,43157.5681,89623.8707,43155.088
89609.1719,43158.4288,89625.1528,43153.0821
89608.6178,43160.7543,89626.0428,43151.6947
89608.7082,43163.4473,89627.2611,43149.6704
89609.3983,43165.7638,89628.3364,43147.9277
89610.8274,43167.8585,89629.2543,43146.3973
89611.5567,43168.6561,89630.0419,43145.1763
89613.0761,43169.7506,89631.3545,43143.2051
89614.948,43170.662,89632.0558,43141.8421
89616.8206,43171.1074,89633.2635,43140.0345
89618.6839,43171.0665,89634.076,43138.8212
89620.6261,43170.8405,89635.4402,43136.6839
89621.8027,43170.434,89637.0119,43134.567
89622.8698,43169.6271,89637.682,43133.8187
89623.9906,43168.7676,89638.6194,43133.1028
89624.661,43167.9154,89639.6575,43132.5327
89625.8452,43166.278,89640.9818,43132.1948
89626.609,43165.0964,89642.6935,43132.0076
89628.198,43162.6579,89644.6201,43132.2912
89630.1101,43159.3518,89646.4288,43132.8356
89631.8708,43156.5609,89648.6004,43134.2552
89632.7446,43154.8708,89649.7512,43135.4102
89634.2035,43151.9188,89650.7166,43136.9982
89635.1363,43150.1666,89651.2648,43138.8675
89636.5526,43147.4433,89651.4947,43141.2668
89637.7706,43145.3369,89651.299,43142.4608
89639.107,43143.3702,89650.8192,43143.8134
89640.0539,43141.7317,89649.9152,43145.4173
89640.4955,43140.964,89649.1198,43146.5621
89640.9988,43140.2507,89648.1431,43148.3168
89642.0497,43139.5746,89647.2313,43149.7982
89643.3838,43139.6895,89646.2195,43151.4535
89643.9278,43140.0376,89645.2248,43153.1926
89644.243,43140.5118,89643.7834,43155.1736
89644.4062,43141.7313,89642.8271,43156.6122
89643.5217,43143.4071,89641.4988,43158.7578
89641.0041,43147.3997,89640.5454,43160.1753
89639.2145,43150.2198,89639.0668,43162.4467
89637.7965,43152.4543,89637.8795,43164.2705
89636.1482,43155.1608,89636.6784,43166.0978
89633.6975,43159.0956,89634.4376,43169.4958
89632.1731,43161.4962,89633.5603,43170.4467
89630.0059,43164.9127,89633.0506,43171.1076
89628.6271,43166.9955,89632.2352,43172.262
89627.6712,43168.5019,89631.5884,43173.3537
89626.7475,43169.8657,89631.2009,43174.1684
89626.2314,43170.7337,89630.7291,43175.0429
89625.2216,43171.7142,89629.9816,43175.8219
89624.4204,43172.2514,89629.1185,43176.5069
89623.1116,43172.5858,89628.2214,43176.7419
89622.2369,43172.6977,89627.2854,43176.766
89621.159,43172.9555,89625.8814,43176.7497
89620.0666,43173.2895,89624.4684,43177.2022
89618.9163,43173.7253,89623.2461,43178.4697
89618.1549,43174.1703,89622.9728,43179.1921
89617.2125,43174.8405,89622.9749,43180.3974
89616.3277,43176.0388,89623.5815,43181.9065
89615.8315,43176.9419,89624.2271,43182.3886
89615.5061,43178.1937,89625.0005,43182.8473
89615.211,43179.6199,89625.5691,43183.2153
89614.9631,43180.8934,89625.584,43183.2249
89615.1214,43182.0483,89626.7122,43183.9357
89615.2238,43183.075,89627.3771,43184.4477
89615.4236,43184.2022,89628.2794,43185.1662
89615.8862,43185.0883,89629.2731,43185.4585
89616.6346,43186.1062,89630.4754,43185.2478
89618.559,43187.7891,89631.4828,43184.3341
89621.1338,43189.7129,89632.1877,43182.9499
89621.2873,43189.8181,89632.9211,43181.4004
89623.4225,43191.2812,89633.3825,43180.5095
89624.7226,43191.9947,89634.0911,43179.534
89625.7822,43192.448,89635.0373,43178.7556
89626.8558,43192.8391,89636.3359,43177.7929
89628.2198,43193.0578,89637.4866,43177.4448
89630.0291,43192.8845,89638.6964,43177.0918
89631.3612,43192.7221,89640.1858,43176.9552
89632.6624,43192.2525,89641.5741,43176.9475
89634.0403,43191.5841,89642.9469,43177.0022
89635.7035,43190.2864,89644.4725,43177.2961
89636.8337,43188.9262,89645.8257,43177.5679
89637.6644,43187.7107,89647.4289,43178.0001
89638.6675,43186.2065,89648.9592,43178.4857
89639.7611,43184.5182,89649.8766,43178.8669
89640.7171,43183.8212,89651.0111,43179.4431
89641.7903,43183.6069,89652.2678,43180.1871
89642.6806,43183.6971,89653.4728,43181.0823
89643.9383,43183.9614,89654.5443,43181.9093
89644.5669,43184.2767,89655.3275,43182.5667
89645.2942,43184.7449,89656.0033,43183.1727
89646.2357,43185.4251,89656.837,43183.8298
89647.858,43186.5845,89657.9012,43184.3307
